        "425","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-4994","Servicios en red","1"
        "426","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-4991","Sistemas operativos en red","1"
        "427","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-643t","Coordinación - Tutoría","1"
        "428","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5283","ASIR - Formación y orientación laboral","1"
        "429","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5274","Fundamentos de hardware.","1"
        "430","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5275","Gestión de bases de datos.","1"
        "431","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5272","Implantación de sistemas operativos.","1"
        "432","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5286","ASIR - Lengua extranjera profesional: inglés 1","1"
        "433","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5276","Lenguajes de marcas y sistemas de gestión de información.","1"
        "434","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5273","Planificación y administración de redes.","1"
        "435","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5054","Administración de sistemas gestores de bases de datos.","1"
        "436","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5051","Administración de sistemas operativos.","1"
        "437","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5058","ASIR - Empresa e iniciativa emprendedora","1"
        "438","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5059","Formación en centros de trabajo","1"
        "439","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5053","Implantación de aplicaciones web.","1"
        "440","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5061","ASIR - Lengua extranjera profesional: inglés 2","1"
        "441","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5056","Proyecto de administración de sistemas informáticos en red.","1"
        "442","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5055","Seguridad y alta disponibilidad.","1"
        "443","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-5052","Servicios de red e Internet.","1"
        "444","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-681t","Coordinación - Tutoría","1"
        "445","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5290","DAM - Bases de datos","1"
        "446","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5293","DAM - Entornos de desarrollo","1"
        "447","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5173","DAM - Formación y Orientación Laboral","1"
        "448","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5176","DAM - Lengua Extranjera profesional: Inglés 1","1"
        "449","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5288","DAM - Lenguajes de marcas y sistemas de gestión de información","1"
        "450","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5291","DAM - Programación","1"
        "451","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5289","Sistemas informáticos","1"
        "452","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5066","DAM - Acceso a datos","1"
        "453","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5068","Desarrollo de interfaces","1"
        "454","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5074","DAM - Empresa e iniciativa emprendedora","1"
        "455","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5075","Formación en centros de trabajo","1"
        "456","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5077","DAM - Lengua Extranjera profesional: Inglés 2","1"
        "457","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5070","Programación de servicios y procesos","1"
        "458","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5069","Programación multimedia y dispositivos móviles","1"
        "459","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5072","Proyecto de desarrollo de aplicaciones multiplataforma","1"
        "460","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-5071","Sistemas de gestión empresarial","1"
        "461","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-682t","Coordinación - Tutoría","1"
        "462","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5180","DAW - Bases de datos","1"
        "463","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5182","DAW - Entornos de desarrollo","1"
        "464","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5188","DAW - Formación y orientación laboral","1"
        "465","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5191","DAW - Lengua Extranjera profesional: Inglés 1","1"
        "466","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5178","DAW - Lenguajes de marcas y sistemas de gestión de información","1"
        "467","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5181","DAW - Programación","1"
        "468","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5179","DAW - Sistemas informáticos","1"
        "469","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5083","DAW - Desarrollo web  en entorno cliente","1"
        "470","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5084","DAW - Desarrollo web  en entorno servidor","1"
        "471","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5085","DAW - Despliegue de aplicaciones web","1"
        "472","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5086","DAW - Diseño de interfaces Web","1"
        "473","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5089","DAW - Empresa e iniciativa emprendedora","1"
        "474","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5090","Formación en centros de trabajo","1"
        "475","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5092","DAW - Lengua Extranjera profesional: Inglés 2","1"
        "476","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-5087","Proyecto de desarrollo de aplicaciones Web","1"
        "477","Top/CAMPUS DIGITAL FP/Inteligencia Artificial y Big Data","50020125-CESIFC02-866t","Coordinación - Tutoría","1"
        "478","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-14339","Incidentes de ciberseguridad","1"
        "479","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-14340","Bastionado de redes y sistemas","1"
        "480","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-14341","Puesta en producción segura","1"
        "481","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-14342","Análisis forense informático","1"
        "482","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-14343","Hacking ético.","1"
        "483","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-14344","Normativa de ciberseguridad.","1"
        "484","Top/CAMPUS DIGITAL FP/Ciberseguridad en Entornos de las Tecnologías de la Información","50020125-CESIFC01-873t","Coordinación - Tutoría","1"
        "485","Top/CAMPUS DIGITAL FP/Inteligencia Artificial y Big Data","50020125-CESIFC02-14345","Modelos de Inteligencia Artificial.","1"
        "486","Top/CAMPUS DIGITAL FP/Inteligencia Artificial y Big Data","50020125-CESIFC02-14346","Sistemas de Big Data.","1"
        "487","Top/CAMPUS DIGITAL FP/Inteligencia Artificial y Big Data","50020125-CESIFC02-14347","Big Data aplicado.","1"
        "488","Top/CAMPUS DIGITAL FP/Inteligencia Artificial y Big Data","50020125-CESIFC02-14348","Sistemas de aprendizaje automático.","1"
        "489","Top/CAMPUS DIGITAL FP/Inteligencia Artificial y Big Data","50020125-CESIFC02-14349","Programación de Inteligencia Artificial.","1"
        "490","Top/Miscelánea","m1","Muestra actualización: Leng. extranj. 1","0"
        "491","Top/Miscelánea","m2","Muestra actualización: Leng. extranj. 2","0"
        "492","Top/Miscelánea","CD_interno","Campus_Digital","1"
        "493","Top/Miscelánea","ejemplo","Ejemplo decálogo metodológico","1"
        "494","Top/Miscelánea","ing-0156-cidead","Inglés 0156 CIDEAD GM","1"
        "495","Top/Miscelánea","ing-0179-cidead","Inglés 0179 CIDEAD GS","1"
        "496","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-14642","GA - Itinerario personal para la empleabilidad I","1"
        "497","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14642","GA - Itinerario personal para la empleabilidad I","1"
        "498","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14642","GA - Itinerario personal para la empleabilidad I","1"
        "499","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16697","SMR - Itinerario personal para la empleabilidad I","1"
        "500","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15344","AC - Itinerario personal para la empleabilidad I","1"
        "501","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-15382","CI - Itinerario personal para la empleabilidad I","1"
        "502","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15418","GVEC - Itinerario personal para la empleabilidad I","1"
        "503","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15454","TL - Itinerario personal para la empleabilidad I","1"
        "504","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16811","DAW - Itinerario personal para la empleabilidad I","1"
        "505","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-17353","PAE - Itinerario personal para la empleabilidad I","1"
        "506","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-14719","AD - Itinerario personal para la empleabilidad I","1"
        "507","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14681","AyF - Itinerario personal para la empleabilidad I","1"
        "508","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17889","LACC - Itinerario personal para la empleabilidad I","1"
        "509","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15575","IEA - Itinerario personal para la empleabilidad I","1"
        "510","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-18387","ECA - Itinerario personal para la empleabilidad I","1"
        "511","Top/IES MIRALBUENO/Agencias de Viajes y Gestión de Eventos","50010156-HOT301-16470","AVGE - Itinerario personal para la empleabilidad I","1"
        "512","Top/IES PABLO SERRANO/Administración de Sistemas Informáticos en Red","50010144-IFC301-16739","ASIR - Itinerario personal para la empleabilidad I","1"
        "513","Top/CPIFP BAJO ARAGÓN/Desarrollo de Aplicaciones Multiplataforma","44010537-IFC302-16773","DAM - Itinerario personal para la empleabilidad I","1"
        "514","Top/IES RÍO GÁLLEGO/Sistemas de Telecomunicaciones e Informáticos","50009567-ELE304-15766","STI - Itinerario personal para la empleabilidad I","1"
        "515","Top/IES RÍO GÁLLEGO/Farmacia y Parafarmacia","50009567-SAN202-17991","FyP - Itinerario personal para la empleabilidad I","1"
        "516","Top/IES RÍO GÁLLEGO/Emergencias Sanitarias","50009567-SAN203-18034","ES - Itinerario personal para la empleabilidad I","1"
        "517","Top/IES VEGA DEL TURIA/Emergencias Sanitarias","44003235-SAN203-18034","ES - Itinerario personal para la empleabilidad I","1"
        "518","Top/IES LUIS BUÑUEL/Atención a Personas en situación de Dependencia","50008460-SSC201-18506","APSD - Itinerario personal para la empleabilidad I","1"
        "519","Top/CPIFP MONTEARAGON/Atención a Personas en situación de Dependencia","22002491-SSC201-18506","APSD - Itinerario personal para la empleabilidad I","1"
        "520","Top/IES MARTÍNEZ VARGAS/Educación Infantil (Formación Profesional)","22004611-SSC302-18599","EI - Itinerario personal para la empleabilidad I","1"
        "521","Top/IES AVEMPACE/Educación Infantil (Formación Profesional)","50009348-SSC302-18599","EI - Itinerario personal para la empleabilidad I","1"
        "522","Top/IES MARÍA MOLINER/Integración Social","50008642-SSC303-18631","IS - Itinerario personal para la empleabilidad I","1"
        "523","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-16697","SMR - Itinerario personal para la empleabilidad I","1"
        "524","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-16739","ASIR - Itinerario personal para la empleabilidad I","1"
        "525","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-16773","DAM - Itinerario personal para la empleabilidad I","1"
        "526","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-16811","DAW - Itinerario personal para la empleabilidad I","1"
        "535","Top/CAMPUS DIGITAL FP/Sistemas Microinformáticos y Redes","50020125-IFC201-16695","SMR - Inglés profesional (GM)","1"
        "536","Top/CAMPUS DIGITAL FP/Administración de Sistemas Informáticos en Red","50020125-IFC301-16737","ASIR - Inglés profesional","1"
        "537","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones Multiplataforma","50020125-IFC302-16771","DAM - Inglés profesional","1"
        "538","Top/CAMPUS DIGITAL FP/Desarrollo de Aplicaciones WEB","50020125-IFC303-16809","DAW - Inglés profesional","1"
        "539","Top/Miscelánea","dig-gs-cidead","Digitalización aplicada a los sectores productivos CIDEAD GS","1"
        "540","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-14640","GA - Inglés profesional (GM)","1"
        "541","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-14655","Itinerario personal para la empleabilidad II","1"
        "542","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-14657","Módulo profesional optativo","1"
        "543","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-14663","Proyecto intermodular","1"
        "544","Top/IES SIERRA DE GUARA/Gestión Administrativa","22002521-ADG201-14665","Sostenibilidad aplicada al sistema productivo","1"
        "545","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14636","GA - Digitalización aplicada a los sectores productivos (GM)","1"
        "546","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14640","GA - Inglés profesional (GM)","1"
        "547","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14655","Itinerario personal para la empleabilidad II","1"
        "548","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14657","Módulo profesional optativo","1"
        "549","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14663","Proyecto intermodular","1"
        "550","Top/IES SANTA EMERENCIANA/Gestión Administrativa","44003211-ADG201-14665","Sostenibilidad aplicada al sistema productivo","1"
        "551","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14636","Digitalización aplicada a los sectores productivos (GM)","1"
        "552","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14640","GA - Inglés profesional (GM)","1"
        "553","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14655","Itinerario personal para la empleabilidad II","1"
        "554","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14657","Módulo profesional optativo","1"
        "555","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14663","Proyecto intermodular","1"
        "556","Top/IES TIEMPOS MODERNOS/Gestión Administrativa","50010511-ADG201-14665","Sostenibilidad aplicada al sistema productivo","1"
        "557","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16693","SMR - Digitalización aplicada a los sectores productivos (GM)","1"
        "558","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16695","SMR - Inglés profesional (GM)","1"
        "559","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16706","SMR - Tutoría I","1"
        "560","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16711","Itinerario personal para la empleabilidad II","1"
        "561","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16713","Módulo profesional optativo","1"
        "562","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16715","Proyecto intermodular","1"
        "563","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16724","SMR - Sostenibilidad aplicada al sistema productivo","1"
        "564","Top/CPIFP LOS ENLACES/Sistemas Microinformáticos y Redes","50010314-IFC201-16726","Tutoría II","1"
        "565","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15335","AC - Digitalización aplicada a los sectores productivos (GM)","1"
        "566","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15342","AC - Inglés profesional (GM)","1"
        "567","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15350","AC - Tutoría I","1"
        "568","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15356","AC - Itinerario personal para la empleabilidad II","1"
        "569","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15358","AC - Módulo profesional optativo","1"
        "570","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15360","AC - Proyecto intermodular","1"
        "571","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15365","AC - Sostenibilidad aplicada al sistema productivo","1"
        "572","Top/CPIFP LOS ENLACES/Actividades Comerciales","50010314-COM201-15369","AC - Tutoría II","1"
        "573","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-15380","CI - Inglés profesional","1"
        "574","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-15392","CI - Itinerario personal para la empleabilidad II","1"
        "575","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-15399","CI - Módulo profesional optativo","1"
        "576","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-15403","CI - Proyecto intermodular de comercio internacional","1"
        "577","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-15407","CI - Sostenibilidad aplicada al sistema productivo","1"
        "578","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15409","GVEC - Digitalización aplicada a los sectores productivos (GS)","1"
        "579","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15414","GVEC - Inglés profesional","1"
        "580","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15428","GVEC - Itinerario personal para la empleabilidad II","1"
        "581","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15435","GVEC - Módulo profesional optativo","1"
        "582","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15439","GVEC - Proyecto intermodular de Gestión de ventas y espacios comerciales","1"
        "583","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-15441","GVEC - Sostenibilidad aplicada al sistema productivo","1"
        "584","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15445","TL - Digitalización aplicada a los sectores productivos (GS)","1"
        "585","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15452","TL - Inglés profesional","1"
        "586","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15465","TL - Itinerario personal para la empleabilidad II","1"
        "587","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15470","TL - Módulo profesional optativo","1"
        "588","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15477","TL - Proyecto intermodular de transporte y logística","1"
        "589","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-15479","TL - Sostenibilidad aplicada al sistema productivo","1"
        "590","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16805","DAW - Digitalización aplicada a los sectores productivos (GS)","1"
        "591","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16809","DAW - Inglés profesional","1"
        "592","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16829","DAW - Itinerario personal para la empleabilidad II","1"
        "593","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16831","DAW - Módulo profesional optativo","1"
        "594","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16833","DAW - Proyecto intermodular de desarrollo de aplicaciones web","1"
        "595","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-16835","DAW - Sostenibilidad aplicada al sistema productivo","1"
        "596","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-17371","PAE - Itinerario personal para la empleabilidad II","1"
        "597","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-17375","PAE - Proyecto intermodular de producción de audiovisuales y espectáculos","1"
        "598","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-17349","PAE - Digitalización aplicada a los sectores productivos (GS)","1"
        "599","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-17351","PAE - Inglés profesional","1"
        "600","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-17377","PAE - Sostenibilidad aplicada al sistema productivo","1"
        "601","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección"," 50018829-ADG302-14717","AD - Inglés profesional","1"
        "602","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-14713","AD - Digitalización aplicada a los sectores productivos (GS)","1"
        "603","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-14730","AD - Itinerario personal para la empleabilidad II","1"
        "604","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección"," 50018829-ADG302-14732","AD - Módulo profesional optativo","1"
        "605","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección"," 50018829-ADG302-14739","AD - Proyecto intermodular de asistencia a la dirección","1"
        "606","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección"," 50018829-ADG302-14743","AD - Sostenibilidad aplicada al sistema productivo","1"
        "607","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14675","AyF - Digitalización aplicada a los sectores productivos (GS)","1"
        "608","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14679","AyF - Inglés profesional","1"
        "609","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14709","AyF - Sostenibilidad aplicada al sistema productivo","1"
        "610","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14700","AyF - Itinerario personal para la empleabilidad II","1"
        "611","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14702","AyF - Módulo profesional optativo","1"
        "612","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-14704","AyF - Proyecto intermodular de administración y finanzas","1"
        "613","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17881","LACC - Digitalización aplicada a los sectores productivos (GS)","1"
        "614","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17887","LACC - Inglés profesional","1"
        "615","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17903","LACC - Itinerario personal para la empleabilidad II","1"
        "616","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17905","LACC - Módulo profesional optativo","1"
        "617","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17907","LACC - Proyecto intermodular de laboratorio de análisis y de control de calidad","1"
        "618","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-17909","LACC - Sostenibilidad aplicada al sistema productivo","1"
        "619","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15564","IEA - Digitalización aplicada a los sectores productivos (GM)","1"
        "620","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15571","IEA - Inglés profesional (GM)","1"
        "621","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15577","IEA - Tutoría I","1"
        "622","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15588","IEA - Itinerario personal para la empleabilidad II","1"
        "623","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15592","IEA - Módulo profesional optativo","1"
        "624","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15594","IEA - Proyecto intermodular","1"
        "625","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15596","IEA - Sostenibilidad aplicada al sistema productivo","1"
        "626","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-15598","IEA - Tutoría II","1"
        "627","Top/Miscelánea/Pruebas","muestra-smr-aplicaciones-web","Muestra - SMR - Aplicaciones web","1"
        "628","Top/Miscelánea/Formación profesorado","formacion-profesorado","Formación metodológica para profesorado. FP virtual y semipresencial.","1"
        "629","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-18379","ECA - Digitalización aplicada a los sectores productivos (GS)","1"
        "630","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-18385","ECA - Inglés profesional","1"
        "631","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-18403","ECA - Itinerario personal para la empleabilidad II","1"
        "632","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-18409","ECA - Sostenibilidad aplicada al sistema productivo","1"
