        "71","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5405","Inglés","1"
        "72","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5408","Logística de almacenamiento","1"
        "73","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5406","Transporte internacional de mercancías","1"
        "74","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5163","Comercio digital internacional","1"
        "75","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5161","Financiación internacional","1"
        "76","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5166","CI - Formación en centros de trabajo","1"
        "77","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5159","Marketing internacional","1"
        "78","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5162","Medios de pago internacionales","1"
        "79","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5160","Negociación internacional","1"
        "80","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5164","Proyecto de comercio internacional","1"
        "81","Top/CPIFP LOS ENLACES/Comercio Internacional","50010314-COM301-5158","Sistema de información de mercados","1"
        "82","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-738t","Coordinación_GVEC - Tutoría","1"
        "83","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-8412","GVEC - Formación y orientación laboral","1"
        "84","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7909","GVEC - Gestión económica y financiera de la empresa","1"
        "85","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7913","Inglés","1"
        "86","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7910","Logística de almacenamiento","1"
        "87","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7908","Marketing digital","1"
        "88","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7907","Políticas de marketing","1"
        "89","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7917","Escaparatismo y diseño de espacios comerciales","1"
        "90","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7916","Formación en centros de trabajo","1"
        "91","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7918","Gestión de productos y promociones en el punto de venta","1"
        "92","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7926","Investigación comercial (LOE)","1"
        "93","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7925","Logística de aprovisionamiento","1"
        "94","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7919","Organización de equipos de ventas","1"
        "95","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7928","Proyecto de gestión de ventas y espacios comerciales","1"
        "96","Top/CPIFP LOS ENLACES/Gestión de Ventas y Espacios Comerciales","50010314-COM302-7920","Técnicas de venta y negociación","1"
        "97","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-85t","Coordinación - Tutoría","1"
        "98","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5430","TL - Formación y orientación laboral","1"
        "99","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5426","Gestión administrativa del comercio internacional","1"
        "100","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5422","Gestión económica y financiera de la empresa de transporte y logística","1"
        "101","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5419","Inglés","1"
        "102","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5424","Logística de almacenamiento","1"
        "103","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5421","Transporte internacional de mercancías","1"
        "104","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5198","Comercialización del transporte y la logística","1"
        "105","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5206","Formación en centros de trabajo","1"
        "106","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5195","Gestión administrativa del transporte y la logística","1"
        "107","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5200","Logística de aprovisionamiento","1"
        "108","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5203","Organización del transporte de mercancías","1"
        "109","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5202","Organización del transporte de viajeros","1"
        "110","Top/CPIFP LOS ENLACES/Transporte y Logística","50010314-COM303-5204","Proyecto de transporte y logística","1"
        "111","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-682t","Coordinación - Tutoría","1"
        "112","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5180","Bases de datos","1"
        "113","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5182","Entornos de desarrollo","1"
        "114","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5188","DAW - Formación y orientación laboral","1"
        "115","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5191","Lengua Extranjera profesional: Inglés 1","1"
        "116","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5178","Lenguajes de marcas y sistemas de gestión de información","1"
        "117","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5181","Programación","1"
        "118","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5179","Sistemas informáticos","1"
        "119","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5083","Desarrollo web  en entorno cliente","1"
        "120","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5084","Desarrollo web  en entorno servidor","1"
        "121","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5085","Despliegue de aplicaciones web","1"
        "122","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5086","Diseño de interfaces Web","1"
        "123","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5089","DAW - Empresa e iniciativa emprendedora","1"
        "124","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5090","Formación en centros de trabajo","1"
        "125","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5092","Lengua Extranjera profesional: Inglés 2","1"
        "126","Top/CPIFP LOS ENLACES/Desarrollo de Aplicaciones WEB","50010314-IFC303-5087","Proyecto de desarrollo de aplicaciones Web","1"
        "127","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-745t","Coordinación - Tutoría","1"
        "128","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-9333","PAE - Formación y orientación laboral","1"
        "129","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7941","Lengua extranjera profesional: Inglés 1","1"
        "130","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7929","Medios técnicos audiovisuales y escénicos","1"
        "131","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7930","Planificación de proyectos audiovisuales","1"
